slot,is_peak,a,b,mean_mcp,std_mcp,mean_mcv,mean_bid
0,0,13035.849420320728,0.8290806340192618,4570.611603053435,2493.0851174228096,6581.9470992366405,12094.814503816793
1,0,12675.365682474117,0.8133905956658676,4388.371666666667,2307.528961621916,6592.047727272728,11987.20681818182
2,0,12487.955071044376,0.8053254715556875,4265.416060606061,2213.331434125186,6631.732651515151,11928.244696969698
3,0,12515.03495029928,0.8097254646509756,4202.652196969698,2152.676645267792,6698.934393939395,11889.15303030303
4,0,12511.188806185542,0.8228500641134425,4089.5178787878795,2097.5696027214726,6725.98053030303,11695.923484848485
5,0,12472.888383520507,0.8265230069148655,4008.6755303030295,2064.6879690269798,6758.255909090909,11608.30303030303
6,0,12213.201974791866,0.8180118576017951,3874.06053030303,1890.2474168740328,6748.936666666666,11484.883333333333
7,0,12134.596474235535,0.8160999881928955,3806.2797727272728,1864.9270293812413,6773.710681818181,11437.697727272727
8,0,11739.351357505873,0.8002651064353742,3593.892803030303,1590.9784625025711,6793.220681818183,11284.098484848484
9,0,11412.559282097342,0.781018398548847,3488.8754545454544,1380.980486563535,6773.228787878787,11240.313636363635
10,0,11297.70773161502,0.7753023021736215,3435.8672727272724,1313.3626992397558,6777.584848484848,11209.233333333334
11,0,11131.80882021853,0.7653636141044278,3386.5530303030305,1161.451280208351,6763.290984848484,11188.054545454544
12,0,11072.294723556075,0.7628483474911022,3345.865681818182,1180.2021640898784,6778.915,11164.931818181818
13,0,10858.71346617323,0.7500402780160463,3276.057803030303,931.4179620164582,6768.701439393939,11136.54393939394
14,0,10721.587707754166,0.7413677877129937,3229.9491666666668,828.0586033839825,6767.7960606060615,11124.539393939394
15,0,10633.490890147868,0.7367979145229966,3201.599772727273,778.7097708383943,6756.274015151516,11101.562878787878
16,0,10590.773208899132,0.7320684272691474,3203.3287878787883,762.7960340386442,6752.674545454545,11128.39772727273
17,0,10600.869829973366,0.7304927800829821,3236.290984848485,789.7064451672643,6732.748636363637,11163.033333333333
18,0,10649.250581445362,0.7318128516081817,3288.1376515151514,842.6906649163682,6700.611439393939,11193.751515151513
19,0,10608.187616574874,0.7241475878398789,3330.0062878787876,885.4989992816836,6670.101666666667,11268.620454545455
20,0,10956.732614400215,0.7415486862538371,3407.1421212121213,910.3285283242321,6771.118106060607,11365.748484848486
21,0,11183.654163108647,0.7394218584824436,3548.941363636364,1000.2820135897193,6834.8933333333325,11634.50984848485
22,0,11391.124865672344,0.7318990199557129,3722.689090909091,1201.5588475666016,6885.8059848484845,11972.148484848485
23,0,11640.633169646759,0.7279166490920821,3817.6338636363635,1223.7221622809147,7056.713636363636,12301.31666666667
24,1,13614.140670067498,0.81888254444445,4242.137954545456,1430.364819815031,7608.2681060606055,12788.666666666664
25,1,14321.769469467672,0.8158335186673207,4448.373484848485,1667.7859262964923,8051.11840909091,13503.668939393938
26,1,14981.826686451943,0.8228349768657914,4694.247424242423,1951.2963832634,8300.855984848486,14005.824242424243
27,1,15485.619581085435,0.8231162179542022,4925.903712121212,2297.5892910312946,8487.393636363637,14471.850757575756
28,1,15832.454417151186,0.8575431616052643,5179.205530303031,2714.55073913266,8162.39446969697,14201.980303030303
29,1,15253.21940955066,0.8150235904227354,5115.085151515152,2830.460661913071,8120.207348484848,14396.203787878787
30,1,14823.801112650868,0.801385282415985,5018.185757575758,3002.686252908346,7967.126818181818,14229.01590909091
31,1,14240.649706384203,0.8098497799276566,4701.160303030302,2995.3268498331204,7721.414242424243,13526.392424242424
32,1,13132.322144594023,0.7872887669174403,4057.3748484848484,2735.298591951812,7677.502424242424,12831.10681818182
33,1,12789.159293042387,0.801956598455351,3853.7984848484853,2699.8408558333017,7461.770833333333,12267.26590909091
34,1,12625.210470722614,0.8061510403864273,3701.9982575757576,2773.4879399420165,7454.8090909090915,12046.998484848484
35,1,12520.056926046496,0.8341354607328962,3482.470303030303,2713.597958801303,7370.916363636365,11545.86212121212
36,1,12750.671003421152,0.8274057220435177,3390.047727272727,2744.472543595676,7756.969242424242,11854.170454545454
37,1,12518.60117407541,0.8186511673597145,3266.556212121212,2635.209926795245,7772.708636363636,11762.877272727274
38,1,11782.770648737385,0.7921350392820693,2905.4313636363636,2135.1349486130766,7774.227954545454,11442.076515151515
39,1,11337.373072554565,0.7827485843534595,2689.788787878788,1854.4647896628512,7705.242196969697,11141.580303030303
40,1,9908.345026655943,0.7108059697688661,2366.4321969696975,1460.1944778208467,7393.539015151516,10722.76287878788
41,1,9924.66570783367,0.7192260345832744,2322.6896969696973,1296.1509021420197,7385.256212121212,10614.685606060606
42,1,9676.834273464263,0.6973880917915268,2308.6196969696966,1163.0903841139038,7363.330454545455,10673.710606060606
43,1,9476.216832676439,0.6923253438185374,2239.0296212121216,1102.3694131302805,7294.789924242425,10528.861363636364
44,1,9218.430715322034,0.6841959910067926,2157.9979545454544,1014.6563071515147,7210.072348484849,10364.136363636364
45,1,9239.169949739753,0.6913398516457591,2136.6451515151516,989.8360850689154,7189.530075757576,10280.11590909091
46,1,9366.88832598935,0.6993847161100317,2134.998106060606,981.0711843757394,7249.658863636363,10302.339393939394
47,1,9390.62842404377,0.7085529382768426,2122.5775757575757,946.2926839220833,7199.155454545455,10194.806818181818
48,1,9785.807729172882,0.7627221795161836,2059.1410606060604,897.544490833935,7169.587424242424,9869.313636363635
49,1,9967.42312285443,0.7810948709713201,2044.28196969697,884.5479446919122,7198.826666666667,9816.027272727273
