date,hour,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,fsv_mw,mcp,year,month,day_of_week,is_weekend,is_peak,slot,scarcity_ratio,supply_surplus
2025-01-01,1.0,00:00 - 00:15,10466.0,23406.4,8902.2,8902.2,2330.1,2025,1,2,0,0,0,0.447142661836079,12940.400000000001
2025-01-01,1.0,00:15 - 00:30,10753.2,23881.1,9262.8,9262.8,2300.07,2025,1,2,0,0,1,0.450280765961367,13127.899999999998
2025-01-01,1.0,00:30 - 00:45,11047.2,24349.8,9555.9,9555.9,2300.13,2025,1,2,0,0,2,0.4536875046201612,13302.599999999999
2025-01-01,1.0,00:45 - 01:00,11270.8,24685.7,9788.7,9788.7,2265.65,2025,1,2,0,0,3,0.4565720234791802,13414.900000000001
2025-01-01,2.0,01:00 - 01:15,11320.5,25394.4,10081.5,10081.5,2191.43,2025,1,2,0,0,4,0.44578726018334747,14073.900000000001
2025-01-01,2.0,01:15 - 01:30,11311.5,25739.0,10080.9,10080.9,2139.58,2025,1,2,0,0,5,0.4394692878511209,14427.5
2025-01-01,2.0,01:30 - 01:45,11247.2,25935.9,10011.4,10011.4,2124.82,2025,1,2,0,0,6,0.43365373864026313,14688.7
2025-01-01,2.0,01:45 - 02:00,11208.6,26163.1,9973.0,9973.0,2119.51,2025,1,2,0,0,7,0.428412535211806,14954.499999999998
2025-01-01,3.0,02:00 - 02:15,10986.1,26539.8,9931.5,9931.5,2119.12,2025,1,2,0,0,8,0.41394810812440186,15553.699999999999
2025-01-01,3.0,02:15 - 02:30,10946.7,26646.7,9892.4,9892.4,2110.27,2025,1,2,0,0,9,0.41080884312128707,15700.0
2025-01-01,3.0,02:30 - 02:45,10916.5,26839.3,9898.9,9898.9,2064.62,2025,1,2,0,0,10,0.4067356451174211,15922.8
2025-01-01,3.0,02:45 - 03:00,10903.8,26978.6,9894.3,9894.3,2055.7,2025,1,2,0,0,11,0.40416478245720683,16074.8
2025-01-01,4.0,03:00 - 03:15,10870.9,26996.1,9813.6,9813.6,2070.32,2025,1,2,0,0,12,0.40268409140579564,16125.199999999999
2025-01-01,4.0,03:15 - 03:30,10884.4,26931.0,9827.0,9827.0,2089.73,2025,1,2,0,0,13,0.40415877613159557,16046.6
2025-01-01,4.0,03:30 - 03:45,10871.2,27012.3,9814.0,9814.0,2065.81,2025,1,2,0,0,14,0.40245369701950595,16141.099999999999
2025-01-01,4.0,03:45 - 04:00,10897.2,27049.8,9843.0,9843.0,2084.32,2025,1,2,0,0,15,0.40285695273162836,16152.599999999999
2025-01-01,5.0,04:00 - 04:15,10806.0,26696.2,9754.8,9754.8,2042.22,2025,1,2,0,0,16,0.40477670979390323,15890.2
2025-01-01,5.0,04:15 - 04:30,10872.6,26126.2,9813.3,9813.3,2073.15,2025,1,2,0,0,17,0.41615696121135104,15253.6
2025-01-01,5.0,04:30 - 04:45,11221.7,25683.5,10120.6,10120.6,2131.44,2025,1,2,0,0,18,0.4369225378161076,14461.8
2025-01-01,5.0,04:45 - 05:00,11128.3,24979.2,9773.3,9773.3,2265.21,2025,1,2,0,0,19,0.44550265821163204,13850.900000000001
2025-01-01,6.0,05:00 - 05:15,10855.8,23027.4,9542.4,9542.4,2603.99,2025,1,2,0,0,20,0.4714296881106855,12171.600000000002
2025-01-01,6.0,05:15 - 05:30,10215.5,21771.6,8842.5,8842.5,2603.66,2025,1,2,0,0,21,0.46921218468096054,11556.099999999999
2025-01-01,6.0,05:30 - 05:45,10055.0,20230.0,8682.1,8682.1,2603.86,2025,1,2,0,0,22,0.49703410776075135,10175.0
2025-01-01,6.0,05:45 - 06:00,10315.6,19092.1,8620.6,8620.6,2699.6,2025,1,2,0,0,23,0.540307247500275,8776.499999999998
2025-01-01,7.0,06:00 - 06:15,10290.3,17280.8,8807.2,8807.2,2927.99,2025,1,2,0,1,24,0.5954759038933383,6990.5
2025-01-01,7.0,06:15 - 06:30,10727.5,16890.2,9165.6,9165.6,3185.6,2025,1,2,0,1,25,0.6351316147825365,6162.700000000001
2025-01-01,7.0,06:30 - 06:45,11198.4,16215.8,8523.5,8523.5,3241.21,2025,1,2,0,1,26,0.6905857250336092,5017.4
2025-01-01,7.0,06:45 - 07:00,11712.2,15698.4,8584.3,8584.3,3241.3,2025,1,2,0,1,27,0.7460760332263161,3986.199999999999
2025-01-01,8.0,07:00 - 07:15,12526.2,14898.9,8438.06,8438.06,3720.28,2025,1,2,0,1,28,0.8407466323017136,2372.699999999999
2025-01-01,8.0,07:15 - 07:30,13515.2,14551.9,9336.46,9336.46,3862.91,2025,1,2,0,1,29,0.9287584439145404,1036.699999999999
2025-01-01,8.0,07:30 - 07:45,14432.9,13508.3,9531.3,9531.3,4459.91,2025,1,2,0,1,30,1.068446806778055,-924.6000000000004
2025-01-01,8.0,07:45 - 08:00,15163.8,13172.6,9884.8,9884.8,4900.76,2025,1,2,0,1,31,1.1511622610570427,-1991.199999999999
2025-01-01,9.0,08:00 - 08:15,15633.0,12814.3,10177.5,10177.5,5249.76,2025,1,2,0,1,32,1.2199651951335617,-2818.7000000000007
2025-01-01,9.0,08:15 - 08:30,15918.5,12442.4,10328.3,10328.3,5499.48,2025,1,2,0,1,33,1.2793753616665595,-3476.1000000000004
2025-01-01,9.0,08:30 - 08:45,16892.2,11806.8,11150.9,11150.9,9499.69,2025,1,2,0,1,34,1.430717891384626,-5085.4000000000015
2025-01-01,9.0,08:45 - 09:00,16217.7,10951.8,10670.3,10670.3,9909.46,2025,1,2,0,1,35,1.4808250698515315,-5265.9000000000015
2025-01-01,10.0,09:00 - 09:15,17065.9,11033.5,10683.0,10683.0,9899.1,2025,1,2,0,1,36,1.5467349435809128,-6032.4000000000015
2025-01-01,10.0,09:15 - 09:30,16687.3,10568.4,10316.6,10316.6,9909.36,2025,1,2,0,1,37,1.5789807350213845,-6118.9
2025-01-01,10.0,09:30 - 09:45,16259.4,10711.3,9695.3,9695.3,6141.0,2025,1,2,0,1,38,1.5179670068058966,-5548.1
2025-01-01,10.0,09:45 - 10:00,15662.8,10803.9,9228.3,9228.3,5446.36,2025,1,2,0,1,39,1.4497357435740796,-4858.9
2025-01-01,11.0,10:00 - 10:15,15162.6,11012.8,8916.49,8916.49,4900.63,2025,1,2,0,1,40,1.3768160685747495,-4149.800000000001
2025-01-01,11.0,10:15 - 10:30,14262.8,10869.2,8048.7,8048.7,4699.19,2025,1,2,0,1,41,1.3122216906488056,-3393.5999999999985
2025-01-01,11.0,10:30 - 10:45,13419.6,10891.4,7608.2,7608.2,4000.1,2025,1,2,0,1,42,1.2321281010705696,-2528.2000000000007
2025-01-01,11.0,10:45 - 11:00,12968.8,11294.6,7322.9,7322.9,3750.63,2025,1,2,0,1,43,1.1482301276716307,-1674.199999999999
2025-01-01,12.0,11:00 - 11:15,13378.6,11575.4,6799.7,6799.7,3620.89,2025,1,2,0,1,44,1.1557786339996892,-1803.2000000000007
2025-01-01,12.0,11:15 - 11:30,13668.6,12522.4,6949.2,6949.2,3720.57,2025,1,2,0,1,45,1.0915319747013352,-1146.2000000000007
2025-01-01,12.0,11:30 - 11:45,13867.7,13301.1,7274.3,7274.3,3620.93,2025,1,2,0,1,46,1.0425979806181445,-566.6000000000004
2025-01-01,12.0,11:45 - 12:00,13544.8,13825.1,7797.7,7797.7,3620.33,2025,1,2,0,1,47,0.9797252822764392,280.3000000000011
2025-01-01,13.0,12:00 - 12:15,12140.6,14892.0,7573.7,7573.7,3245.89,2025,1,2,0,1,48,0.8152430835347838,2751.3999999999996
2025-01-01,13.0,12:15 - 12:30,11887.1,15594.3,7822.0,7822.0,3235.13,2025,1,2,0,1,49,0.7622721122461413,3707.199999999999
2025-01-01,13.0,12:30 - 12:45,10653.2,16622.9,7965.2,7965.2,3020.48,2025,1,2,0,1,50,0.640874937586101,5969.700000000001
2025-01-01,13.0,12:45 - 13:00,10186.8,17502.3,7912.49,7912.49,2927.51,2025,1,2,0,1,51,0.5820263622495329,7315.5
2025-01-01,14.0,13:00 - 13:15,9953.4,19170.8,7443.0,7443.0,2370.75,2025,1,2,0,1,52,0.5191958603709809,9217.4
2025-01-01,14.0,13:15 - 13:30,10108.9,19565.3,7466.1,7466.1,2370.82,2025,1,2,0,1,53,0.5166749295947417,9456.4
2025-01-01,14.0,13:30 - 13:45,10606.6,19935.1,8472.7,8472.7,2843.83,2025,1,2,0,1,54,0.5320565234184931,9328.499999999998
2025-01-01,14.0,13:45 - 14:00,11002.1,20460.5,8848.1,8848.1,2843.92,2025,1,2,0,1,55,0.537723907040395,9458.4
2025-01-01,15.0,14:00 - 14:15,12234.8,20801.3,10169.8,10169.8,2927.31,2025,1,2,0,1,56,0.5881747775379423,8566.5
2025-01-01,15.0,14:15 - 14:30,12451.2,20511.7,10374.98,10374.98,3000.17,2025,1,2,0,1,57,0.6070291589678086,8060.5
2025-01-01,15.0,14:30 - 14:45,12470.2,20490.9,10436.6,10436.6,3019.55,2025,1,2,0,1,58,0.6085725858795855,8020.700000000001
2025-01-01,15.0,14:45 - 15:00,12462.8,20381.5,10432.8,10432.8,3019.65,2025,1,2,0,1,59,0.6114760935161788,7918.700000000001
2025-01-01,16.0,15:00 - 15:15,12353.7,19253.1,9579.4,9579.4,2927.49,2025,1,2,0,1,60,0.6416473191330229,6899.399999999998
2025-01-01,16.0,15:15 - 15:30,12586.4,18955.4,9806.9,9806.9,2942.76,2025,1,2,0,1,61,0.6640007596779809,6369.000000000002
2025-01-01,16.0,15:30 - 15:45,14412.1,18970.6,11119.1,11119.1,3213.76,2025,1,2,0,1,62,0.7597071257630229,4558.499999999998
2025-01-01,16.0,15:45 - 16:00,15268.0,18628.4,11352.4,11352.4,3284.3,2025,1,2,0,1,63,0.8196087694058534,3360.4000000000015
2025-01-01,17.0,16:00 - 16:15,13696.5,16688.0,10171.1,10171.1,3299.78,2025,1,2,0,1,64,0.8207394534995206,2991.5
2025-01-01,17.0,16:15 - 16:30,12283.6,16019.2,8957.1,8957.1,3240.6,2025,1,2,0,1,65,0.7668048341989613,3735.6000000000004
2025-01-01,17.0,16:30 - 16:45,12489.4,15273.3,9063.5,9063.5,3267.88,2025,1,2,0,1,66,0.8177276685457628,2783.8999999999996
2025-01-01,17.0,16:45 - 17:00,12704.2,13390.2,8467.5,8467.5,3599.3,2025,1,2,0,1,67,0.9487685023375304,686.0
2025-01-01,18.0,17:00 - 17:15,11336.9,10653.2,7172.9,7172.9,3862.57,2025,1,2,0,1,68,1.0641778995982427,-683.6999999999989
2025-01-01,18.0,17:15 - 17:30,11420.2,9454.8,6555.0,6555.0,4956.07,2025,1,2,0,1,69,1.207873249566358,-1965.4000000000015
2025-01-01,18.0,17:30 - 17:45,11146.4,7507.3,5878.6,5878.6,6173.25,2025,1,2,0,1,70,1.4847415182555646,-3639.0999999999995
2025-01-01,18.0,17:45 - 18:00,11082.9,7448.6,5744.3,5744.3,6285.5,2025,1,2,0,1,71,1.4879171924925487,-3634.2999999999993
2025-01-01,19.0,18:00 - 18:15,12799.6,7678.2,7001.93,7001.93,9280.34,2025,1,2,0,1,72,1.6670052876976376,-5121.400000000001
2025-01-01,19.0,18:15 - 18:30,13917.0,7887.2,7807.9,7807.9,10000.0,2025,1,2,0,1,73,1.7645045136423574,-6029.8
2025-01-01,19.0,18:30 - 18:45,13617.9,7958.8,7827.5,7827.5,10000.0,2025,1,2,0,1,74,1.711049404432829,-5659.099999999999
2025-01-01,19.0,18:45 - 19:00,12867.6,7754.1,7609.6,7609.6,9735.26,2025,1,2,0,1,75,1.6594575772816962,-5113.5
2025-01-01,20.0,19:00 - 19:15,10639.6,9050.4,6510.9,6510.9,4265.95,2025,1,2,0,1,76,1.1755944488641388,-1589.2000000000007
